"","election_year","state","election_type","dem_votes","rep_votes","total_votes","margin","sig_third"
"245",1928,"DE","G",40828,63725,104553,-21.8998976595602,FALSE
"246",1928,"FL","G",153816,70633,224451,37.0606502087315,FALSE
"247",1928,"ID","S",53399,90922,145337,-25.8179266119433,FALSE
"248",1928,"IL","S",1315338,1594031,2927011,-9.52141963251932,FALSE
"249",1928,"IN","G",623996,782144,1414440,-11.1809620768643,FALSE
"250",1928,"MA","G",818055,693563,1524953,8.16366143743446,FALSE
"251",1928,"MD","G",214447,256224,474067,-8.81246743603752,FALSE
"252",1928,"ME","G",63429,145501,208930,-39.2820561910688,FALSE
"253",1928,"MI","G",376592,977893,1362150,-44.1435231068531,FALSE
"254",1928,"MN","G",0,342992,1017541,-33.7079292136631,TRUE
"255",1928,"MO","G",893093,958144,1855479,-3.50588715905704,FALSE
"256",1928,"MS","G",111210,0,111210,100,FALSE
"257",1928,"MT","G",103655,91185,194840,6.4001231779922,FALSE
"258",1928,"ND","G",38856,159940,200843,-60.2878865581574,FALSE
"259",1928,"NE","G",204737,324014,528751,-22.5582552089736,FALSE
"260",1928,"NJ","G",608623,841752,1454627,-16.0267202519959,FALSE
"261",1928,"NM","G",49913,68070,117987,-15.388983532084,FALSE
"262",1928,"NV","G",19515,13414,32929,18.527741504449,FALSE
"263",1928,"OH","G",908953,1412805,2326206,-21.6598186059188,FALSE
"264",1928,"OH","S",856807,1429534,0,-Inf,FALSE
"265",1928,"PA","G",1029055,1948645,3026868,-30.380908582733,FALSE
"266",1928,"RI","G",116234,119228,235775,-1.2698547343866,FALSE
"267",1928,"TN","G",175431,120289,295720,18.6466928175301,FALSE
"268",1928,"TX","G",566138,130172,697114,62.5386952492706,FALSE
"269",1928,"UT","G",97436,77073,175507,11.6023862296091,FALSE
"270",1928,"VA","G",270477,0,270477,100,FALSE
"271",1928,"VT","G",37030,93136,130177,-43.0997795309463,FALSE
"272",1928,"WA","G",261524,227415,489605,6.96663637013511,FALSE
"273",1928,"WI","G",0,635376,742553,-85.5664174813111,FALSE
"274",1928,"WV","G",317620,327266,645805,-1.4936397209684,FALSE
"275",1928,"WY","G",43032,37076,80441,7.40418443331137,FALSE
"276",1930,"AL","G",150985,0,252847,59.7139772273351,TRUE
"277",1930,"AR","G",141806,0,141806,100,FALSE
"278",1930,"CO","G",180028,137487,322348,13.1972278407187,FALSE
"279",1930,"DE","G",39881,47909,87925,-9.13050895649701,FALSE
"280",1930,"GA","G",55606,0,55607,99.998201665258,FALSE
"281",1930,"IA","G",235186,307613,546514,-13.2525424783263,FALSE
"282",1930,"ID","G",36162,94938,131100,-44.8329519450801,FALSE
"283",1930,"IL","G",1432216,687469,2237104,33.2906740142613,FALSE
"284",1930,"KS","G",232161,364548,596709,-22.1861912590559,FALSE
"285",1930,"KS","S",288889,276833,577381,2.08804931232583,FALSE
"286",1930,"KY","G",336748,309180,645928,4.26796794689191,FALSE
"287",1930,"LA","G",130536,0,130560,99.9816176470588,FALSE
"288",1930,"MA","G",651939,539226,1207036,9.33799820386467,FALSE
"289",1930,"ME","G",56561,88262,144823,-21.889478881117,FALSE
"290",1930,"MI","G",169757,634577,812007,-57.2433488873864,FALSE
"291",1930,"MN","G",282018,293626,780629,-1.48700599132238,FALSE
"292",1930,"MS","G",33953,0,33953,100,FALSE
"293",1930,"MT","G",106274,66724,176161,22.4510532978355,FALSE
"294",1930,"NC","G",324293,210761,535054,21.2187928695048,FALSE
"295",1930,"NE","G",172795,247118,434797,-17.0937241977291,FALSE
"296",1930,"NH","G",52284,72225,124791,-15.9795177536842,FALSE
"297",1930,"NJ","G",401007,601497,1028223,-19.4986885140675,FALSE
"298",1930,"NM","G",69356,48699,118309,17.4602101277164,FALSE
"299",1930,"OK","G",255838,232589,489259,4.7518798836608,FALSE
"300",1930,"OR","G",66028,137231,236376,-30.1227705012353,FALSE
"301",1930,"PA","S",523338,1462186,2043778,-45.9368874701655,FALSE
"302",1930,"RI","G",109687,112202,223084,-1.12737802800739,FALSE
"303",1930,"SC","G",16213,0,16213,100,FALSE
"304",1930,"SD","G",106317,99595,205912,3.26450134037841,FALSE
"305",1930,"TN","G",154071,58550,216013,44.2200237948642,FALSE
"306",1930,"TX","G",266562,39053,306715,74.1760266045026,FALSE
"307",1930,"VA","G",111697,181,145155,76.8254624367056,FALSE
"308",1930,"WV","G",342467,209427,553187,24.0497336343768,FALSE
"309",1930,"WY","G",30259,43626,73885,-18.0916288827231,FALSE
"310",1932,"AL","G",209614,33425,243040,72.4938281764319,FALSE
"311",1932,"AR","G",183795,21597,205392,78.9699696190699,FALSE
"312",1932,"AZ","G",74310,35737,111463,34.6061024734665,FALSE
"313",1932,"CA","G",943164,669676,2173834,12.5809054417219,FALSE
"314",1932,"CO","G",226516,198519,436339,6.41634142260949,FALSE
"315",1932,"CT","G",282327,278061,582405,0.732479975274938,FALSE
"316",1932,"FL","G",86106,0,204651,42.0745561956697,TRUE
"317",1932,"GA","G",234590,18151,252741,85.636679446548,FALSE
"318",1932,"GA","S",238931,0,238931,100,FALSE
"319",1932,"IA","G",538422,399929,981525,14.1099819158962,FALSE
"320",1932,"ID","G",103020,78225,185046,13.399370967219,FALSE
"321",1932,"IL","G",1670466,1471841,3198135,6.21065089497473,FALSE
"322",1932,"IN","G",870053,661750,1565750,13.3037202618553,FALSE
"323",1932,"KS","G",328992,302809,720407,3.63447329079257,FALSE
"324",1932,"KY","G",574977,393865,972133,18.6303725930505,FALSE
"325",1932,"LA","G",249189,0,249192,99.9987961090244,FALSE
"326",1932,"MD","G",444267,192483,655359,38.4192480762452,FALSE
"327",1932,"MO","G",1232080,714509,1967323,26.3083896238696,FALSE
"328",1932,"NC","G",476048,221392,697440,36.5129616884607,FALSE
"329",1932,"ND","G",65575,172797,238915,-44.878722558232,FALSE
"330",1932,"NH","G",98766,96649,196176,1.07913302340755,FALSE
"331",1932,"NJ","S",725511,741734,1495238,-1.08497777611323,FALSE
"332",1932,"NV","G",21398,19706,41104,4.11638769949397,FALSE
"333",1932,"NY","G",2532905,1751186,4501884,17.3642634950168,FALSE
"334",1932,"OH","G",1290175,1126830,2458992,6.64276256287129,FALSE
"335",1932,"OK","G",426130,218854,649504,31.9129674336109,FALSE
"336",1932,"OR","G",137237,186210,353139,-13.8679103695712,FALSE
"337",1932,"PA","G",1200767,1371844,2780886,-6.15188828308676,FALSE
"338",1932,"SC","G",104472,1976,106448,96.2873891477529,FALSE
"339",1932,"SD","G",125731,151845,282092,-9.25726358776569,FALSE
"340",1932,"UT","G",116909,86066,206322,14.9489632710036,FALSE
"341",1932,"VT","G",60453,66259,134795,-4.30728142735265,FALSE
"342",1932,"WA","G",365949,197450,603805,27.9061948807976,FALSE
"343",1932,"WI","G",610236,387668,1070996,20.7814034786311,FALSE
"344",1933,"VA","S",119377,44648,167402,44.6404463507007,FALSE
"345",1934,"AZ","G",67648,24075,93920,46.3937393526405,FALSE
"346",1934,"CT","G",265552,247623,513175,3.493739952258,FALSE
"347",1934,"DE","G",45771,52829,99166,-7.11735877215981,FALSE
"348",1934,"FL","G",59931,0,131780,45.478069509789,TRUE
"349",1934,"IN","G",758801,700103,1474612,3.9805725167027,FALSE
"350",1934,"MA","G",852776,536692,1435932,22.0124629857124,FALSE
"351",1934,"MD","G",386801,276056,677524,16.3455464308275,FALSE
"352",1934,"ME","G",138573,139773,278768,-0.430465476668771,FALSE
"353",1934,"MI","G",573574,626017,1219734,-4.29954399893747,FALSE
"354",1934,"MN","G",294757,200083,1009457,9.37870558131748,TRUE
"355",1934,"MO","G",947520,635527,1596129,19.5468536690957,FALSE
"356",1934,"MS","G",51709,0,51709,100,FALSE
"357",1934,"MT","G",142823,58519,203626,41.4013927494524,FALSE
"358",1934,"MT","S",116965,77370,196114,20.1897875725343,FALSE
"359",1934,"ND","G",104477,151205,259607,-17.9995146509917,FALSE
"360",1934,"NE","G",305858,237126,553155,12.4254503710533,FALSE
"361",1934,"NJ","G",785971,554483,1357409,17.0536662126154,FALSE
"362",1934,"NM","G",74944,76228,151862,-0.84550447116461,FALSE
"363",1934,"NM","S",81934,67577,150258,9.55489890721293,FALSE
"364",1934,"NV","G",27581,14273,42755,31.1261840720384,FALSE
"365",1934,"OH","G",1276206,839068,2128820,20.5342866000883,FALSE
"366",1934,"PA","G",1494001,1366877,2942148,4.32078875705777,FALSE
"367",1934,"RI","G",140700,105545,246313,14.2724906927365,FALSE
"368",1934,"TN","G",195430,110401,308274,27.5822806983398,FALSE
