"","state","year","absenteeexcusereq","pollhours","avgpollhours","maxpollhours","minpollhours","regdeadlines","voteridlaws","novoterid","noallmailvote","noearlyvote","nofelonreg","nofelonsregafterincar","nonstrictid","nonstrictphoto","noonlineregistration","nopermanentabsentee","nopollplacereg","nopr","nosamedayreg","nostateholiday","pr16","pr17","pr175","pr60","pr90","strictid","strictphoto"
"178","NV",2012,0,8,12,12,12,21,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"179","NH",2012,1,9,11,14,8,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"180","NJ",2012,0,6,14,14,14,21,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"181","NM",2012,0,8,12,12,12,28,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"182","NY",2012,1,5,15,15,15,20,0,1,1,1,1,1,0,0,0,1,1,1,1,0.75,0,0,0,0,0,0,0
"183","NC",2012,0,7,13,13,13,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
"184","ND",2012,0,9.5,10.5,14,7,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"185","OH",2012,0,7,13,13,13,30,3,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0
"186","OK",2012,0,8,12,12,12,25,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"187","OR",2012,0,0,20,20,20,21,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
"188","PA",2012,1,7,13,13,13,30,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"189","RI",2012,1,7,13,13,13,30,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
"190","SC",2012,1,8,12,12,12,30,2,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"191","SD",2012,0,8,12,12,12,15,2,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"192","TN",2012,0,8.5,11.5,13,10,30,4,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
"193","TX",2012,0,8,12,12,12,30,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0
"194","UT",2012,0,7,13,13,13,15,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"195","VT",2012,0,11,9,9,9,8,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"196","VA",2012,1,7,13,13,13,22,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"197","WA",2012,0,0,20,20,20,8,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"198","WV",2012,0,7,13,13,13,21,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
"199","WI",2012,0,7,13,13,13,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"200","WY",2012,0,8,12,12,12,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"201","AL",2016,1,8,12,12,12,15,2,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"202","AK",2016,0,7,13,13,13,30,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0
"203","AZ",2016,0,7,13,13,13,29,3,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0
"204","AR",2016,1,8,12,12,12,29,2,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"205","CA",2016,0,7,13,13,13,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"206","CO",2016,0,8,12,12,12,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
