"","year","state_po","margin"
"120",2004,"KY",-19.8624408507909
"121",2004,"LA",-14.5061566378777
"122",2004,"MA",25.0282583336038
"123",2004,"MD",12.9932498349578
"124",2004,"ME",8.99639825474653
"125",2004,"MI",3.4186481712463
"126",2004,"MN",3.47615089448509
"127",2004,"MO",-7.19574542243363
"128",2004,"MS",-18.8532615561701
"129",2004,"MT",-20.5031147737515
"130",2004,"NC",-12.4340511172928
"131",2004,"ND",-27.3625224960282
"132",2004,"NE",-33.2164803787269
"133",2004,"NH",1.3672678379506
"134",2004,"NJ",6.68459732574021
"135",2004,"NM",-0.791745118365102
"136",2004,"NV",-2.59165102635408
"137",2004,"NY",18.1480226404374
"138",2004,"OH",-2.10733909237597
"139",2004,"OK",-31.1408033295121
"140",2004,"OR",4.15574629977863
"141",2004,"PA",2.50014299109642
"142",2004,"RI",20.7519890925895
"143",2004,"SC",-17.0801137417321
"144",2004,"SD",-21.4674858003941
"145",2004,"TN",-14.2737983825671
"146",2004,"TX",-22.8615623063202
"147",2004,"UT",-45.540306344601
"148",2004,"VA",-8.20603896520483
"149",2004,"VT",20.1361472131767
"150",2004,"WA",7.18086631942258
"151",2004,"WI",0.379845625986192
"152",2004,"WV",-12.8655767724453
"153",2004,"WY",-39.7164778295832
"154",2008,"AK",-21.535145939417
"155",2008,"AL",-21.5764787345957
"156",2008,"AR",-19.8512447348054
"157",2008,"AZ",-8.51999694786296
"158",2008,"CA",24.0577795146698
"159",2008,"CO",8.95271473135443
"160",2008,"CT",22.3673663704949
"161",2008,"DC",85.9245522901754
"162",2008,"DE",24.9956354325286
"163",2008,"FL",2.81798610468869
"164",2008,"GA",-5.21433889686446
"165",2008,"HI",45.0167081813079
"166",2008,"IA",9.53476071856319
"167",2008,"ID",-25.4261038402008
"168",2008,"IL",25.137191977866
"169",2008,"IN",1.03200446083574
"170",2008,"KS",-14.9602871494783
"171",2008,"KY",-16.2309073589471
"172",2008,"LA",-18.6298075084113
"173",2008,"MA",25.6282398134705
"174",2008,"MD",25.4448251175332
"175",2008,"ME",17.3217189600677
"176",2008,"MI",16.4735416455068
"177",2008,"MN",10.2373616541408
"178",2008,"MO",-0.133426546173687
"179",2008,"MS",-13.174634554779
"180",2008,"MT",-2.26398617450404
"181",2008,"NC",0.328867780398812
"182",2008,"ND",-8.62956026290107
"183",2008,"NE",-14.9335875928669
"184",2008,"NH",9.60546858517237
"185",2008,"NJ",15.5682032926111
"186",2008,"NM",15.1284454284606
"187",2008,"NV",12.4925608153346
"188",2008,"NY",26.575614486315
"189",2008,"OH",4.59369169725052
"190",2008,"OK",-31.290162245387
"191",2008,"OR",16.3478245646284
"192",2008,"PA",10.3184755321229
"193",2008,"RI",27.8061581377208
"194",2008,"SC",-8.97708396127163
"195",2008,"SD",-8.41154525819753
"196",2008,"TN",-15.0684162201813
"197",2008,"TX",-11.7692390064368
"198",2008,"UT",-28.1781240484266
