"","Geography","County","State","Total Population","Percent one race","Percent White alone","Percent Black alone","Percent Native American alone","Percent Asian alone","Percent Pacific Islander alone","Percent Other alone","Percent multiracial","Percent Hispanic or Latino","Estimated Median Household Income","Percent high school graduate or higher 25 years and over","Percent bachelor's degree or higher 25 years and over","rank"
"2779","0500000US49001","Beaver","Utah",7072,"94.50%","83.48%","0.33%","1.47%","0.45%","0.31%","8.46%","5.50%","12.99%",80268,"92.3","27.5",24
"2780","0500000US49003","Box Elder","Utah",57666,"94.11%","88.07%","0.31%","0.89%","0.79%","0.18%","3.87%","5.89%","9.97%",72769,"93.4","25.8",8
"2781","0500000US49005","Cache","Utah",133154,"93.90%","84.75%","0.84%","0.83%","1.77%","0.53%","5.19%","6.10%","11.09%",72719,"94.2","40.0",6
"2782","0500000US49007","Carbon","Utah",20412,"91.91%","86.43%","0.30%","1.32%","0.32%","0.14%","3.39%","8.09%","13.71%",53734,"92.0","16.7",15
"2783","0500000US49009","Daggett","Utah",935,"95.61%","94.55%","0.43%","0.00%","0.21%","0.21%","0.21%","4.39%","1.93%",61250,"92.8","18.2",29
"2784","0500000US49011","Davis","Utah",362679,"92.28%","83.37%","1.21%","0.69%","1.97%","0.92%","4.13%","7.72%","10.48%",101285,"95.7","38.4",3
"2785","0500000US49013","Duchesne","Utah",19596,"95.51%","87.14%","0.11%","4.80%","0.32%","0.20%","2.94%","4.49%","8.59%",70821,"89.2","14.4",16
"2786","0500000US49015","Emery","Utah",9825,"94.93%","91.63%","0.04%","0.64%","0.41%","0.07%","2.14%","5.07%","6.89%",67056,"93.3","15.6",21
"2787","0500000US49017","Garfield","Utah",5083,"95.61%","89.34%","0.22%","2.11%","0.73%","0.14%","3.09%","4.39%","7.50%",56481,"95.9","30.3",25
"2788","0500000US49019","Grand","Utah",9669,"91.29%","80.85%","0.75%","3.86%","0.83%","0.13%","4.87%","8.71%","10.88%",59171,"94.5","31.7",22
"2789","0500000US49021","Iron","Utah",57289,"93.81%","85.94%","0.71%","1.90%","1.12%","0.43%","3.70%","6.19%","9.81%",63005,"93.0","30.4",9
"2790","0500000US49023","Juab","Utah",11786,"96.18%","93.09%","0.15%","0.83%","0.29%","0.37%","1.44%","3.82%","5.81%",88048,"93.6","21.4",20
"2791","0500000US49025","Kane","Utah",7667,"95.96%","92.40%","0.40%","1.68%","0.80%","0.01%","0.67%","4.04%","5.50%",70327,"94.4","32.4",23
