date,value
2001-12-10,1.095
2001-12-17,1.059
2001-12-24,1.072
2001-12-31,1.096
2002-01-07,1.112
2002-01-14,1.111
2002-01-21,1.105
2002-01-28,1.101
2002-02-04,1.116
2002-02-11,1.107
2002-02-18,1.116
2002-02-25,1.116
2002-03-04,1.144
2002-03-11,1.223
2002-03-18,1.288
2002-03-25,1.342
2002-04-01,1.371
2002-04-08,1.413
2002-04-15,1.404
2002-04-22,1.404
2002-04-29,1.393
2002-05-06,1.395
2002-05-13,1.388
2002-05-20,1.397
2002-05-27,1.387
2002-06-03,1.392
2002-06-10,1.375
2002-06-17,1.378
2002-06-24,1.384
2002-07-01,1.392
2002-07-08,1.382
2002-07-15,1.394
2002-07-22,1.410
2002-07-29,1.407
2002-08-05,1.395
2002-08-12,1.393
2002-08-19,1.392
2002-08-26,1.403
2002-09-02,1.394
2002-09-09,1.395
2002-09-16,1.401
2002-09-23,1.395
2002-09-30,1.413
2002-10-07,1.439
2002-10-14,1.440
2002-10-21,1.458
2002-10-28,1.444
2002-11-04,1.448
2002-11-11,1.439
2002-11-18,1.409
2002-11-25,1.380
2002-12-02,1.364
2002-12-09,1.360
2002-12-16,1.363
2002-12-23,1.401
2002-12-30,1.441
2003-01-06,1.444
2003-01-13,1.454
2003-01-20,1.459
2003-01-27,1.473
2003-02-03,1.527
2003-02-10,1.607
2003-02-17,1.660
2003-02-24,1.658
2003-03-03,1.686
2003-03-10,1.712
2003-03-17,1.728
2003-03-24,1.690
2003-03-31,1.649
2003-04-07,1.630
2003-04-14,1.595
2003-04-21,1.574
2003-04-28,1.557
2003-05-05,1.513
2003-05-12,1.491
2003-05-19,1.498
2003-05-26,1.487
2003-06-02,1.473
2003-06-09,1.490
2003-06-16,1.518
2003-06-23,1.496
2003-06-30,1.487
2003-07-07,1.489
2003-07-14,1.521
2003-07-21,1.524
2003-07-28,1.516
2003-08-04,1.536
2003-08-11,1.571
2003-08-18,1.627
2003-08-25,1.747
2003-09-01,1.746
2003-09-08,1.717
2003-09-15,1.697
2003-09-22,1.643
2003-09-29,1.591
2003-10-06,1.573
2003-10-13,1.568
2003-10-20,1.571
2003-10-27,1.542
2003-11-03,1.535
2003-11-10,1.504
2003-11-17,1.497
2003-11-24,1.512
2003-12-01,1.490
2003-12-08,1.476
2003-12-15,1.465
2003-12-22,1.485
2003-12-29,1.478
2004-01-05,1.510
2004-01-12,1.560
2004-01-19,1.595
2004-01-26,1.622
2004-02-02,1.616
2004-02-09,1.638
2004-02-16,1.648
2004-02-23,1.688
2004-03-01,1.717
2004-03-08,1.738
2004-03-15,1.724
2004-03-22,1.743
2004-03-29,1.758
2004-04-05,1.780
2004-04-12,1.786
2004-04-19,1.813
2004-04-26,1.812
2004-05-03,1.844
2004-05-10,1.941
2004-05-17,2.017
2004-05-24,2.064
2004-05-31,2.051
2004-06-07,2.034
2004-06-14,1.985
2004-06-21,1.937
2004-06-28,1.921
2004-07-05,1.895
2004-07-12,1.917
2004-07-19,1.928
2004-07-26,1.905
2004-08-02,1.888
2004-08-09,1.877
2004-08-16,1.875
2004-08-23,1.884
2004-08-30,1.866
2004-09-06,1.850
2004-09-13,1.846
2004-09-20,1.866
2004-09-27,1.917
2004-10-04,1.938
2004-10-11,1.993
2004-10-18,2.035
2004-10-25,2.032
2004-11-01,2.034
2004-11-08,2.001
2004-11-15,1.969
2004-11-22,1.948
2004-11-29,1.945
2004-12-06,1.911
2004-12-13,1.847
2004-12-20,1.815
2004-12-27,1.791
2005-01-03,1.778
2005-01-10,1.793
2005-01-17,1.819
2005-01-24,1.853
2005-01-31,1.911
2005-02-07,1.909
2005-02-14,1.898
2005-02-21,1.905
2005-02-28,1.928
2005-03-07,1.999
2005-03-14,2.056
2005-03-21,2.109
2005-03-28,2.153
2005-04-04,2.217
2005-04-11,2.280
2005-04-18,2.237
2005-04-25,2.236
2005-05-02,2.235
2005-05-09,2.186
2005-05-16,2.163
2005-05-23,2.125
2005-05-30,2.097
2005-06-06,2.116
2005-06-13,2.130
2005-06-20,2.161
2005-06-27,2.215
2005-07-04,2.226
2005-07-11,2.328
2005-07-18,2.317
2005-07-25,2.289
2005-08-01,2.291
2005-08-08,2.368
2005-08-15,2.550
2005-08-22,2.612
2005-08-29,2.610
2005-09-05,3.069
2005-09-12,2.955
2005-09-19,2.786
2005-09-26,2.803
2005-10-03,2.928
2005-10-10,2.848
2005-10-17,2.725
2005-10-24,2.603
2005-10-31,2.480
2005-11-07,2.376
2005-11-14,2.296
2005-11-21,2.201
2005-11-28,2.154
2005-12-05,2.147
2005-12-12,2.185
2005-12-19,2.211
2005-12-26,2.197
2006-01-02,2.238
2006-01-09,2.327
2006-01-16,2.320
2006-01-23,2.336
2006-01-30,2.357
2006-02-06,2.342
2006-02-13,2.284
2006-02-20,2.240
2006-02-27,2.254
2006-03-06,2.331
2006-03-13,2.366
2006-03-20,2.504
2006-03-27,2.498
2006-04-03,2.588
2006-04-10,2.683
2006-04-17,2.783
2006-04-24,2.914
2006-05-01,2.919
2006-05-08,2.909
2006-05-15,2.947
2006-05-22,2.892
2006-05-29,2.867
2006-06-05,2.892
2006-06-12,2.906
2006-06-19,2.871
2006-06-26,2.869
2006-07-03,2.934
2006-07-10,2.973
2006-07-17,2.989
